"country_id","country_year","country_code","country_name","country_region","country_continent","country_currency","country_capital","birth_rate_per_1000","human_capital_index","labor_force","population_00_14","population_15_64","population_65_up","population_growth_annual_percentage","total_population","suicide_mortality_rate_per_100_000","male_population","poverty_headcount_percentage_of_population","female_population","health_id","health_year","health_country_code","adults_15_plus_living_with_hiv","capital_health_expenditure_percentage_gdp","death_rate_per_100_000","diabetes_prevalence_percentage_population_age_20_to_79","diarrhea_treatment_percentage_children_under_5","hospital_beds_per_1000","immunization_bcg_percentage_1_year_old_children","immunization_dpt_percentage_12_to_23_month_children","immunization_hib3_percentage_12_to_23_month_children","immunization_hepb3_percentage_1_year_old_children","immunization_measles_percentage_12_to_23_month_children","incidence_of_hiv_per_1000_uninfected_population","prevalence_of_overweight_percentage_of_adults","prevalence_of_overweight_percentage_of_children_under_5","prevalence_of_stunting_height_for_age_percentage_of_children_un","prevalence_of_undernourishment_percentage_of_population","development_index"
29,2018,"IDN","Indonesia","South-Eastern Asia","Asia","IDR","Jakarta",18.072,0.53795725,133000456.0,71069736.0,180922910.0,15677907.0,1.134507,267670540.0,2.4,134788500.0,9.8,132882050.0,29,2018,"IDN",520000.0,0.19273698,6.465,5.1,58.766666,0.8388889,92.0,85.0,85.0,85.0,89.0,0.12,23.866667,8.0,32.2,6.4,"developing"
123,2016,"NER","Niger","Western Africa","Africa","XOF","Niamey",47.017,0.31657156,7621537.0,10427104.0,9824443.0,537242.0,3.859843,20788788.0,5.3,10430601.0,40.8,10358188.0,123,2016,"NER",29000.0,0.28526735,8.82,4.2,38.4,0.3375,91.0,80.0,80.0,80.0,76.0,0.06,22.0,1.1,47.1,-1.0,"underdeveloped"
84,2009,"USA","United States","Northern America","North America","USD","Washington D.C.",13.5,0.71723896,157079940.0,62456436.0,205162930.0,39152172.0,0.8766513,306771520.0,12.8,151473500.0,-1.0,155298020.0,84,2009,"USA",1074000.0,0.70491374,7.9,9.4,-1.0,3.08,-1.0,95.0,84.0,92.0,90.0,0.12100001,64.2,8.257143,2.7,2.5,"developed"
59,2016,"CAN","Canada","Northern America","North America","CAD","Ottawa",10.6,0.7926785,19955332.0,5740699.0,24426968.0,5941820.0,1.1323487,36109490.0,11.9,17906490.0,-1.0,18202996.0,59,2016,"CAN",-1.0,0.42354,7.4,8.4,-1.0,2.6,-1.0,91.0,91.0,70.0,89.0,-1.0,64.1,-1.0,-1.0,2.5,"developed"
51,2008,"CAN","Canada","Northern America","North America","CAD","Ottawa",11.3,0.7926785,18667574.0,5616013.0,23098880.0,4532226.0,1.0829071,33247118.0,11.5,16492292.0,-1.0,16754826.0,51,2008,"CAN",-1.0,0.47915494,7.2,8.4,-1.0,2.85,-1.0,92.0,92.0,28.0,93.0,-1.0,60.2,-1.0,-1.0,2.5,"developed"
55,2012,"CAN","Canada","Northern America","North America","CAD","Ottawa",11.0,0.7926785,19322866.0,5657280.0,23917884.0,5139058.0,1.0858172,34714224.0,11.8,17219264.0,-1.0,17494958.0,55,2012,"CAN",-1.0,0.5565993,7.1,8.4,-1.0,2.79,-1.0,91.0,90.0,70.0,89.0,-1.0,62.2,-1.0,-1.0,2.5,"developed"
26,2015,"IDN","Indonesia","South-Eastern Asia","Asia","IDR","Jakarta",19.165,0.52733934,124807230.0,70928720.0,173544640.0,13909895.0,1.2678297,258383260.0,2.4,130132840.0,11.2,128250420.0,26,2015,"IDN",500000.0,0.18466645,6.419,5.1,58.766666,0.98,90.0,84.0,84.0,84.0,87.0,0.15,27.4,10.75,32.9,7.0,"developing"
103,2012,"CAF","Central African Republic","Middle Africa","Africa","XAF","Bangui",37.933,0.2916319,1762364.0,1984051.0,2320216.0,132144.0,0.4013986,4436411.0,14.7,2197286.0,62.0,2239125.0,103,2012,"CAF",100000.0,0.06407364,15.28,3.2,42.25,1.1,74.0,47.0,47.0,47.0,49.0,-1.0,24.0,2.0,41.4,32.8,"underdeveloped"
8,2013,"IND","India","Southern Asia","Asia","INR","New Delhi",19.416,0.4727689,461045400.0,376920160.0,835217800.0,68704150.0,1.1829042,1280842100.0,13.7,666165600.0,25.849998,614676500.0,8,2013,"IND",-1.0,0.28407836,7.251,9.0,32.1,0.49,91.0,83.0,20.0,70.0,83.0,0.07,18.0,1.9666667,40.3,15.1,"developing"
142,2019,"SSD","South Sudan","Eastern Africa","Africa","SSP","Juba",34.653,0.30481127,4760595.0,4598305.0,6090263.0,373546.0,0.78219706,11062114.0,3.9,5536530.0,76.4,5525584.0,142,2019,"SSD",160000.0,0.44426802,10.342,-1.0,23.0,-1.0,52.0,49.0,49.0,49.0,49.0,1.37,-1.0,8.45,30.8,-1.0,"underdeveloped"
99,2008,"CAF","Central African Republic","Middle Africa","Africa","XAF","Bangui",39.749,0.2916319,1715553.0,1880653.0,2257421.0,135294.0,1.7793101,4273368.0,15.1,2114319.0,62.0,2159049.0,99,2008,"CAF",120000.0,0.06407364,17.283,3.2,42.25,1.1,74.0,45.0,44.18182,44.18182,58.0,-1.0,22.1,2.8333333,42.3,33.3,"underdeveloped"
17,2006,"IDN","Indonesia","South-Eastern Asia","Asia","IDR","Jakarta",21.624,0.52733934,103776780.0,67697350.0,150457180.0,11163724.0,1.3295817,229318260.0,2.9,115204860.0,17.8,114113390.0,17,2006,"IDN",240000.0,0.74896973,7.087,5.1,58.766666,0.8388889,88.0,72.0,65.28571,66.0,79.0,0.21,20.5,10.75,37.8,19.0,"developing"
46,2019,"BRA","Brazil","South America","South America","BRL","Brasilia",13.703,0.5475435,104376950.0,44339800.0,147184240.0,19525474.0,0.75155085,211049520.0,6.9,103733160.0,-1.0,107316360.0,46,2019,"BRA",-1.0,0.29178557,6.531,10.1,-1.0,2.3161538,79.0,73.0,80.0,80.0,91.0,0.23,53.041668,6.4,6.1,2.5,"developing"
33,2006,"BRA","Brazil","South America","South America","BRL","Brasilia",16.747,0.5475435,89980220.0,50483960.0,126082500.0,11600894.0,1.0901926,188167360.0,4.7,92970770.0,-1.0,95196584.0,33,2006,"BRA",-1.0,0.74211955,6.022,10.1,-1.0,2.48,99.0,99.0,97.0,99.0,99.0,0.25,50.2,6.4,7.3,6.2,"developing"
143,2020,"SSD","South Sudan","Eastern Africa","Africa","SSP","Juba",37.418068,0.30652085,4674628.0,4626119.0,6192310.0,375300.0,1.1827594,11193729.0,3.7333333,5603014.0,76.4,5590715.0,143,2020,"SSD",170000.0,0.44426802,11.7344,-1.0,23.0,-1.0,57.333332,51.444443,44.2,44.2,54.11111,1.37,-1.0,8.45,30.6,-1.0,"underdeveloped"
47,2020,"BRA","Brazil","South America","South America","BRL","Brasilia",15.1404,0.55149794,96539740.0,44019350.0,148150770.0,20389282.0,0.7128728,212559410.0,5.58,104435784.0,-1.0,108123624.0,47,2020,"BRA",-1.0,0.4611405,6.173667,10.1,-1.0,2.3161538,96.066666,94.13333,94.4,94.933334,96.73333,0.23,53.041668,6.4,6.1,3.74,"developing"
110,2019,"CAF","Central African Republic","Middle Africa","Africa","XAF","Bangui",35.09,0.2916319,1907420.0,2084083.0,2527529.0,133567.0,1.6746616,4745179.0,12.3,2351973.0,62.0,2393206.0,110,2019,"CAF",83000.0,0.06407364,11.974,3.2,42.25,1.1,74.0,47.0,47.0,47.0,49.0,-1.0,23.358335,1.5,40.5,48.2,"underdeveloped"
36,2009,"BRA","Brazil","South America","South America","BRL","Brasilia",15.595,0.5475435,94205650.0,49117316.0,131902950.0,12866239.0,0.9619467,193886510.0,5.1,95674550.0,-1.0,98211950.0,36,2009,"BRA",-1.0,0.82504267,6.027,10.1,-1.0,2.43,99.0,99.0,99.0,99.0,99.0,0.25,52.1,6.4,6.7,4.4,"developing"
0,2005,"IND","India","Southern Asia","Asia","INR","New Delhi",24.087,0.4727689,446152600.0,375719580.0,717517440.0,54372876.0,1.5797092,1147610000.0,15.5,597052200.0,25.849998,550557700.0,0,2005,"IND",-1.0,0.16114938,8.074,9.0,32.1,0.41,86.0,65.0,62.142857,8.0,68.0,0.14,14.2,1.9666667,48.2,21.6,"developing"
14,2019,"IND","India","Southern Asia","Asia","INR","New Delhi",17.644,0.4727689,482700300.0,363716700.0,915552000.0,87149090.0,1.0132612,1366417800.0,12.7,710129600.0,25.849998,656288200.0,14,2019,"IND",-1.0,0.2078476,7.265,9.0,32.1,0.4830769,92.0,91.0,91.0,91.0,95.0,0.04,16.824999,1.9666667,32.1,15.3,"developing"
117,2010,"NER","Niger","Western Africa","Africa","XOF","Niamey",49.802,0.31657156,6538897.0,8237963.0,7813925.0,412137.0,3.8441668,16464025.0,5.3,8227012.0,40.8,8237013.0,117,2010,"NER",32000.0,0.3103279,11.353,4.2,38.4,0.35,81.0,70.0,70.0,70.0,67.0,0.08,19.1,0.1,49.2,-1.0,"underdeveloped"
69,2010,"MEX","Mexico","Central America","North America","MXN","Mexico City",20.042,0.5891188,47982610.0,33666190.0,73417830.0,7008938.0,1.4381406,114092960.0,4.5,55825784.0,42.9,58267176.0,69,2010,"MEX",230000.0,0.19516744,5.266,15.6,79.9,1.05,98.0,95.0,95.0,93.0,95.0,0.14,61.7,6.66,13.5,5.0,"developing"
20,2009,"IDN","Indonesia","South-Eastern Asia","Asia","IDR","Jakarta",21.034,0.52733934,112039660.0,68992010.0,157775360.0,11853195.0,1.3292174,238620560.0,2.7,120149064.0,14.1,118471490.0,20,2009,"IDN",350000.0,0.35963088,6.744,5.1,58.766666,0.59,78.0,78.0,65.28571,82.0,74.0,0.2,22.7,10.75,36.3,15.5,"developing"
66,2007,"MEX","Mexico","Central America","North America","MXN","Mexico City",20.973,0.60518146,45304972.0,33787852.0,69038030.0,6344619.0,1.4860635,109170504.0,4.1,53381476.0,42.9,55789024.0,66,2007,"MEX",200000.0,0.09540497,4.961,15.6,79.9,1.06,99.0,98.0,98.0,98.0,96.0,0.14,60.1,6.66,15.1,4.1,"developing"
